epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.7588,0.776,0.3914,0.9001
2,0.4102,0.8748,0.3121,0.9084
3,0.3419,0.8913,0.2661,0.9142
4,0.3301,0.8893,0.2286,0.9313
5,0.3082,0.8988,0.2365,0.9271
6,0.2836,0.9062,0.2145,0.9313
7,0.279,0.9055,0.1984,0.938
8,0.2724,0.9079,0.2039,0.9371
9,0.2777,0.909,0.2008,0.9438
10,0.2588,0.9101,0.1963,0.9413
11,0.259,0.9131,0.1902,0.9434
12,0.2559,0.9111,0.1958,0.9396
13,0.2466,0.9134,0.1787,0.9455
14,0.2522,0.9145,0.1788,0.9434
15,0.2456,0.9165,0.1864,0.9421
16,0.2479,0.9151,0.1919,0.9384
